"group","ID","baseMean","log2FoldChange","padj"
"H_vs_C","LTR1",82.5428823035735,-3.33366515422812,6.62399735900347e-33
"H_vs_C","LTR10B",10.6859957412578,2.99401549256725,0.000385301996805699
"H_vs_C","LTR10B1",58.1843673101274,-1.50385061779393,6.83481735909088e-05
"H_vs_C","LTR12D",73.8748082588778,1.99820468435686,1.15214980583274e-06
"H_vs_C","LTR14B",57.1777944727226,1.50217638406385,4.10186247376657e-09
"H_vs_C","LTR16D2",11.7484235305334,1.62955786628916,0.00935473565264457
"H_vs_C","LTR22C",19.3838630308214,-4.7338747186372,9.2173887396673e-11
"H_vs_C","LTR24C",19.2604450977072,-1.64717503077889,2.31526957632933e-06
"H_vs_C","LTR27",9.32547638638926,-1.94245642312483,0.000925986978086099
"H_vs_C","LTR27B",24.9796083128974,-1.99332812827185,2.63593512752287e-07
"H_vs_C","LTR36",47.3502911411057,2.29106402761413,6.10923905462798e-09
"H_vs_C","LTR38-int",3.47915562466143,1.65745661323177,0.0345006559631001
"H_vs_C","LTR3A",78.4695995562342,-1.58316258743351,1.98033550230433e-08
"H_vs_C","LTR3B",60.5399699433781,4.90372503192635,6.20736012031644e-50
"H_vs_C","LTR45",7.54512902342858,1.84147740679671,0.00152784107611643
"H_vs_C","LTR46-int",59.8079528814559,3.26742097258623,6.88947133094255e-18
"H_vs_C","LTR47B",26.0097290207686,-1.60473926175442,0.000172250968135869
"H_vs_C","LTR5",17.2728611832083,2.65371490836593,1.47096479180343e-10
"H_vs_C","LTR52",107.298999061358,2.46324157622368,8.77649581574735e-25
"H_vs_C","LTR53",47.1151993763959,-1.84928218640189,1.44050745848767e-13
"H_vs_C","LTR57",58.4668889620022,1.81844408062013,3.26633794652079e-10
"H_vs_C","LTR58",7.64805100067571,5.0151134069298,1.57954096819559e-07
"H_vs_C","LTR60",4.20052589041712,-2.40526047007515,0.00255558428416314
"H_vs_C","LTR70",33.2320850720402,-1.66571062950993,3.44433012288798e-09
"H_vs_C","LTR84a",511.554500235236,4.86039352350024,4.31319911289228e-30
"H_vs_C","LTR88c",26.4247772052534,1.70309717815195,4.15459626634806e-07
"H_vs_C","LTR89",163.612562387785,1.52875912604842,6.55541746511083e-10
"H_vs_C","MamRep1161",67.9518116513028,-9.2005848156457,3.70660752894231e-32
"H_vs_C","MamRep1879",24.5805170332923,-6.53249453885309,1.80382672500445e-21
"H_vs_C","MamRep488",11.8331084587868,-9.61686133170796,5.86884384915614e-16
"H_vs_C","MER101B",5.31063938394088,-2.24568051395488,0.000686780325604288
"H_vs_C","MER135",44.880368375517,2.48042717190585,1.66379628429893e-14
"H_vs_C","MER34B-int",479.306447982082,2.65620114090626,1.9724693644262e-12
"H_vs_C","MER4-int",351.164112567346,1.55901949573795,3.1306850578211e-18
"H_vs_C","MER44C",190.096389652655,-1.53195556455494,8.1295027741296e-08
"H_vs_C","MER45R",19.0771298425704,-1.57076142910519,0.0189321938977629
"H_vs_C","MER57F",79.049501801388,-1.70507109966432,9.38841578189149e-07
"H_vs_C","MER61-int",174.652791826775,1.72903299424393,4.18748674557984e-31
"H_vs_C","MER65C",252.498181697592,3.31725358614351,1.15768782179053e-32
"H_vs_C","MER66A",28.4269887663149,-1.90767709696773,1.25707882294743e-05
"H_vs_C","MER70-int",46.5296001439191,-1.5999049927067,7.5653304255285e-05
"H_vs_C","MER70B",31.7106693913333,1.98156517263768,6.10245850807759e-05
"H_vs_C","MER96",17.4050765522749,-6.01919927073888,7.42758913603723e-17
"H_vs_C","MER96B",35.8351867459314,-4.76968755918834,3.19384433509217e-28
"H_vs_C","MER97b",6.9306119967244,1.81502396115895,0.00618001658139545
"H_vs_C","MER97d",14.6207200959872,-2.41094427167484,5.18924061608962e-10
"H_vs_C","MER99",45.8006227384655,1.98704553715156,4.37693522513684e-14
"H_vs_C","MLT1-int",16.7343523056743,2.62288212711394,1.91143227498113e-07
"H_vs_C","MLT1A0-int",52.3453437285195,1.64485121654725,7.5401731249154e-08
"H_vs_C","MLT1H1-int",35.0418391527957,2.93662797496426,1.42424870088661e-15
"H_vs_C","MLT1I-int",57.4793146949088,2.22973499241002,4.74127940006596e-12
"H_vs_C","MLT1N2",397.694032110403,1.54296479813287,2.95237764474579e-39
"H_vs_C","MLT2F",162.861320604399,1.83309624969027,9.24633807287257e-12
"H_vs_C","MST-int",612.917361424253,-6.28255311324617,5.70635735443928e-156
"H_vs_C","MSTB2-int",3.5212101693729,2.58491435615025,0.000622465860293353
"H_vs_C","Ricksha",19.736432546376,-2.20936955403101,6.51562238379306e-05
"H_vs_C","Ricksha_a",1.741610735503,-2.34816771878392,0.0135906267403394
"H_vs_C","Tigger12",77.2102912073001,2.89590887815322,3.62830066841407e-30
"H_vs_C","Tigger16a",104.68646922007,2.02558451415392,6.88947133094255e-18
"H_vs_C","X5B_LINE",4.48384653571705,2.87897651733405,0.00122580407751476
"H_vs_C","X6A_LINE",13.5676246791049,-1.5803694513296,0.00362161071183633
"H_vs_C","X6B_LINE",80.8718923569613,4.23327202453451,1.09688208308276e-31
"H_vs_C","X7B_LINE",76.95673781987,2.05804501983754,4.64368367312732e-10
"H_vs_C","X8_LINE",18.1095128356909,3.03214705972078,3.72292441753928e-11
"H_vs_C","X9_LINE",10.7187424244955,4.53400188791491,1.09675259593951e-05
"H_vs_O","AluSq",8084.41294645835,2.41709166303523,8.79684783760771e-46
"H_vs_O","AluSx",27931.7712257138,1.54782800434768,2.01992637375607e-24
"H_vs_O","AluYa5",87.2684587997491,-2.17579867744089,3.9564090762732e-20
"H_vs_O","AluYa8",4.52554110807447,-1.58468832380757,0.0195898713411109
"H_vs_O","AluYc",151.478231327337,-13.8651622163655,4.40304995516905e-48
"H_vs_O","AluYd8",58.0663381238762,3.47124218064648,1.09001166743965e-12
"H_vs_O","AluYg6",79.3823143202094,3.17559161148523,3.36291931558163e-08
"H_vs_O","Charlie10a",143.31519126476,4.01165134390814,1.09784002039656e-14
"H_vs_O","Charlie12",19.4978941659064,-2.00722432688246,2.12265886404445e-05
"H_vs_O","Charlie14a",41.9433268148691,2.0949997455528,2.12789731552987e-09
"H_vs_O","Charlie4",9.81375746989351,-1.98179872907451,0.00027406391339287
"H_vs_O","FRAM",1576.43308987401,2.26139510629252,9.05725198194849e-58
"H_vs_O","HERV1_LTRb",4.15908007224998,4.02806341920317,2.10179865273359e-05
"H_vs_O","HERV1_LTRd",28.5019409775235,-3.8773901822514,1.40606620037516e-08
"H_vs_O","HERV15-int",45.8957152249494,-2.75110889233512,2.8046246446629e-09
"H_vs_O","HERV16-int",191.281352445755,1.56599325413321,9.37202413896552e-09
"H_vs_O","HERVIP10FH-int",101.538236828389,-1.58412586040406,3.04305404144025e-10
"H_vs_O","HERVKC4-int",5.72034598934093,1.99840561305713,0.0066367443195855
