"group","external_gene_name","baseMean","log2FoldChange","padj"
"H_vs_O","ZSCAN31",33.2497605004666,2.04245964849668,1.55619811834422e-06
"H_vs_O","ZSCAN12",77.5792575492456,-2.19017664112378,7.98382838047025e-21
"H_vs_O","ZNF311",7.23818191697353,8.51563739616519,1.60376037079571e-07
"H_vs_O","ZNF394",665.226769324377,2.24732361273199,1.42211708906875e-21
"H_vs_O","ZNF655",353.328744967292,-3.0263985915412,6.41176035541058e-42
"H_vs_O","ZNF728",15.7012648979403,7.06358910206283,2.19281339563852e-19
"H_vs_O","ZNF282",139.41530291089,-1.7407435338653,1.68193966809213e-09
"H_vs_O","ZNF723",5.3043658705359,6.18420366235616,6.44254974048152e-09
"H_vs_O","ZNF461",46.1536429339031,-2.62101110007496,2.56411310743061e-07
"H_vs_O","ZNF268",129.303592965843,-2.88668415501839,1.14384193725695e-39
