	h1_1	h1_2	h1_3	h2_1	h2_2	h2_3	h3_1	h3_2	h3_3
CTD-3126B10.1	3.53467443715547	3.66418455209407	3.29816165766802	3.30670743049674	3.58872566131329	3.00332562356151	2.41729625386865	3.43417301521415	3.08447079304224
RP11-697E2.6	5.07505573493613	5.38752218279598	5.42818496114641	5.0549312023792	5.13966075823425	5.15495684046348	5.03903860386457	5.33599262127525	4.96795678431582
ZNF865	1.64415291395396	2.22008458721276	1.04374038213894	2.8212806033265	2.61867888341492	2.01812262548959	1.75940223069364	1.99360042382817	2.44372051413534
RP11-325K4.3	2.2799965836773	1.80877017397664	2.48431297352492	0.754609563681208	1.63830769016385	2.07583812334588	3.32283156986516	2.88668521991166	1.33082645772941
CTD-3185P2.1	4.34629895404545	4.42074562633551	4.59745194887565	4.08043157467306	3.91267010179916	4.08289288087983	4.31739768381453	3.83010169154529	4.00784951143933
VPS9D1-AS1	2.86018984025058	2.40852967662587	2.54381398527358	3.29334904764172	3.50566992158573	3.41464003679764	1.02243663652744	2.35617050321288	2.9598441385285
RP11-455F5.5	4.26924352738043	4.28834211561633	3.9859197277506	5.50949706584468	5.77092899253404	5.33710343632661	4.41220737719585	3.32920345561261	4.85584641799428
RP11-399O19.9	2.1295797411242	1.74801614289754	1.12391073082292	2.23165672523548	2.21021403805956	2.23630279553912	0.79111109042098	0.771208002491723	2.75005175397168
RP11-106M3.3	4.11764012781268	4.05120767520332	4.36154059140362	3.93317348339739	4.25540281182581	4.15160563096384	5.04562626389933	5.54965023263409	4.43983707964811
AC135048.13	3.12163098800871	3.29100637314338	3.46135182508161	3.43389944695052	3.223270190885	3.24890283231876	3.18641237163856	4.5670672857115	4.08943704593559
RP11-448G15.3	4.42591612210882	3.23676332835939	4.13845903939208	1.56752401108071	1.78640632915298	3.32227601864898	2.19828647192685	3.02754775575151	3.25328985725839
LA16c-358B7.3	5.70526442825735	5.74316021424414	5.73303954267483	5.4595413302077	5.54519828577237	5.54040389345461	5.94526877600498	6.71241867128412	5.64771309713981
RP11-29G8.3	3.07299621275783	3.16885926385759	2.92568462061723	3.55078074724614	3.46227732607235	3.78711707384843	5.15324550770336	5.33599262127525	4.37623691741935
RP11-296I10.6	4.3932745704261	3.86349336031748	4.63897121831392	2.70502753483065	2.9045877555013	3.29823054468232	2.67694007050167	2.12484495710642	2.50447454521444
RP4-614O4.11	5.32048976769585	5.48614473191987	5.57088222847175	5.72132934715975	5.63586864471243	5.81068054561911	5.85438892232579	4.7611543378278	5.99599708935092
CTD-2033A16.1	3.15316656144182	3.48962810192011	3.39827314245823	3.58407518734456	3.24903328695009	3.56328411815277	3.68540164924987	3.48392605041125	3.58404180253276
CTD-2636A23.2	5.11963693787662	5.12024931963297	5.18358404434339	5.29167051919072	5.41469626153824	5.46140450413356	4.73922434875601	4.93219987916403	5.24663637102645
GAN	4.44515234097174	4.58606786217806	4.79404061480676	3.88054655274618	3.81255861700895	3.71629573665874	3.56216988325559	4.31552851871553	4.75943008628755
AC010547.9	3.76644334375739	3.64764918436777	3.75366115329092	2.96300871293816	2.9045877555013	3.32227601864898	2.95404966154719	2.88668521991166	2.7247406654425
RP11-265N6.1	5.05432700131376	4.89360595221114	5.04631432580276	5.17633325375624	4.7552838116572	4.73880313606831	5.43496728019571	5.3223821897566	5.35783233703793
RP11-473C18.3	2.16094391203354	1.97704165656644	2.54381398527358	1.4277992474141	1.28683531966247	1.68881500023663	1.75940223069364	3.86806954174431	1.26211370764539
AC009133.12	2.38996942570243	2.53977420990413	2.48431297352492	2.31334052282918	2.53737878131307	2.81280371751208	2.41729625386865	1.06071461968671	1.88184162652723
RP11-77K12.1	3.05641332856223	3.23676332835939	2.92568462061723	2.78356093737734	3.44008157995815	2.70719352955148	3.78324897264801	3.15587185272705	2.20834245120441
LA16c-431H6.6	3.69324746348213	3.79757196737177	3.64916698541981	3.43389944695052	3.75977120264952	3.39209746814655	4.53901216226834	2.88668521991166	3.87610525697808
DYX1C1-CCPG1	4.92328129590805	4.87596887386454	4.48051140336506	4.40002458131249	4.10833442404035	4.01074309512399	4.62949290809921	5.06888855113241	4.50075145917172
RP11-69H7.3	2.36325208732665	2.10367509509745	1.84519470275686	3.39690523946832	3.2992190441183	3.29823054468232	3.54367353963821	3.02754775575151	2.13338039352319
AC005606.14	2.84095362138767	2.75575179167715	3.05400871759277	2.53384088482442	2.45122213756335	2.81280371751208	3.61627728859504	1.06071461968671	2.47441731135826
ISY1-RAB43	4.90023455914599	4.90756199855985	4.63897121831392	4.95666718606433	5.03987912184225	4.89125281519743	4.13173527901825	4.98498729352346	4.8616637445896
RP11-265N6.2	2.67706753642669	2.74023879230582	2.85697187053321	2.8212806033265	2.49494351499267	2.70719352955148	2.67694007050167	0.771208002491723	2.7247406654425
LINC00662	3.31527205842483	3.35351557462139	3.49188619322972	2.46401943532685	2.99870993286585	2.77845221272131	2.95404966154719	2.55547931143629	2.47441731135826
CLN3	4.5074814742649	4.52400689404581	4.85990120157188	4.4550492818223	4.6334254687841	4.52753409320357	3.13791385394737	3.02754775575151	3.89891513988617
RP13-638C3.4	3.47353414234156	3.63092209796232	3.80320061409223	3.29334904764172	3.19703864931183	3.52235385409789	4.33901149692059	3.32920345561261	3.76874784768159
RP11-67A1.2	1.3497055554887	1.04174734595425	1.69581707871863	1.15986604216747	2.1567747790981	1.26139377650195	0.515476647807553	2.12484495710642	1.57698704499881
RP11-333E1.1	4.04384986709832	4.16014204675648	3.99660640654784	4.51957078785779	4.51100336588877	4.21719397259142	4.81058095461921	4.44677305199379	4.35988892333187
CTC-479C5.12	4.89091178007492	5.08997129246461	5.20677899799601	5.42320711078079	5.67915274244123	4.82547754754719	4.97835556806332	1.68874584229975	5.04155281510754
RP11-542C16.2	5.34459263209505	5.3082051421927	5.50878196911882	5.17996724822398	5.17368816203444	5.37207957456959	5.08453275761935	4.78119209106434	5.43399225717346
AC009133.20	2.67706753642669	3.07304347644379	2.88024164985606	3.42167314461726	3.14309984220102	2.97326838970533	2.806707945472	2.95883500566749	2.89324638979948
RP13-1032I1.7	4.33259153462486	4.18327192159504	4.80015373853337	3.64844400646428	3.9287002116181	3.1176582990405	4.08133032558101	2.12484495710642	3.35577281485964
RP11-670E13.5	2.78165643770389	2.60973676807169	2.62870288286009	2.60043863355345	2.96801313564293	3.17159710615131	3.78324897264801	3.48392605041125	2.59106223021053
CTD-2033A16.3	4.92784679035385	5.17319819958193	5.17420062888475	4.86030576030856	5.23942595927605	4.72984226849668	3.98864832307115	3.75103012055409	4.55919773155528
RP11-96D1.11	3.77660320997761	3.59687461713464	3.94236336176386	3.75947531885302	3.86348255217162	3.82126529626028	3.30097213590142	2.35617050321288	3.78107864959231
CTD-2031P19.5	3.91180394785812	3.75960411717275	3.47669978941504	3.12258502608801	2.96801313564293	2.67019932206928	2.45737369324398	3.62365081407786	2.01308615980548
RP11-876N24.4	3.35649472115134	3.03540581908042	2.75994741613835	2.60043863355345	2.80389375588182	2.91120742157308	3.4474582243789	3.57856292454933	3.02350277575082
CORO7	5.63440963979056	5.82080427360949	5.73941610572249	6.01378024097028	6.08169929753688	5.0508712078293	5.35235752216833	3.83010169154529	5.62395052396939
RP1-4G17.5	4.13353775469288	4.08844058140229	3.63555655390116	4.06479245089547	4.00628315257065	4.27992972793938	4.48186825516473	4.14044181215744	4.19458054995993
SHPK	3.31527205842483	2.98364439139068	3.28077957943979	3.21049211523743	3.48413676003609	3.17159710615131	1.8221379860416	4.36946732582634	3.66611293547179
RP11-498C9.3	5.31701339242126	6.23330445583016	5.25653203319311	6.52886239071161	6.15166185570445	4.51715494742357	3.9186008255429	4.14044181215744	5.48764447053024
RP5-1050D4.3	3.10560087818976	3.04806111988645	3.41430325227718	2.66409727077577	3.17032131093605	2.51193723815255	3.68540164924987	1.06071461968671	3.81745103925727
RP1-59D14.1	1.99682453227243	2.10367509509745	2.39019079616037	1.47589353561514	1.78640632915298	1.15830028353785	1.39683215130893	3.66737219150718	1.26211370764539
C17orf61-PLSCR3	4.27642112945347	4.27763560977492	4.45748918544921	4.42473944766504	4.50031668709152	4.24261656947133	5.19532709644631	3.43417301521415	4.55919773155528
CTD-2545G14.7	6.57670839295583	6.70020940535294	6.72583205870391	6.69045153298585	6.58998620751921	6.81598262817959	7.04480444955589	7.4639203586082	6.93591829928302
RP11-667K14.4	3.21424213819359	3.28031969434613	3.57979328237915	3.39690523946832	3.58872566131329	3.45869521687557	3.46722147920033	4.2594944838012	4.16665654839749
RP11-296A16.1	3.72507290933753	3.48962810192011	4.12877648599474	3.07653765856857	2.87179782038363	3.19782864772449	3.61627728859504	2.45926399617698	3.25328985725839
RP11-334C17.5	3.21424213819359	2.59256162426356	3.17184520788662	1.98809969390099	2.35959166209779	2.51193723815255	2.8674619765511	5.3223821897566	2.77492642261071
NAA60	5.14338554064923	5.35987387068176	5.02559303542868	4.76190205624756	4.6624740012946	4.46410871306193	4.08133032558101	3.38264271457407	4.90174118396493
RP11-156P1.2	3.0396376158114	3.38378301429019	2.78482208477738	3.19620788923119	3.41753901130706	3.34592728671362	4.0554516937554	3.09313609737909	3.62566089173449
SLC25A10	3.96608100884132	4.35096438909206	4.07936429186966	4.96089796634235	4.9641297011557	4.63703245813408	4.18043847059393	2.12484495710642	4.65610576211641
OVCA2	3.54659760453129	3.54424768648344	3.82734670142393	3.65889836410145	3.81255861700895	3.69803353026601	3.52493697705662	4.2594944838012	4.36808607629849
RP11-1099M24.7	3.74590641275469	3.87774231605576	3.90881080205283	3.78833018152521	3.97574878442254	3.93479424189069	3.90417375490762	4.58996768782158	3.93246769959719
MRPL12	3.58178703299359	4.06372571504975	3.68924442479515	4.62996458585662	4.71887317146752	4.25516182279044	3.88960095382034	2.55547931143629	4.4706157411984
RP11-498C9.2	6.04909794506047	6.21096910826936	6.38714820443675	6.34362799915388	6.34024631237836	6.27531801903357	6.03407804296283	5.46546914570369	6.77723658329792
RP11-473I1.9	4.07711232123007	4.18327192159504	4.16712279764422	3.63791333897211	3.81255861700895	3.36919706603647	3.61627728859504	4.07701643201581	3.82937420663309
RP11-876N24.5	3.12163098800871	2.72455717007355	3.19058177046821	3.34605609797256	3.50566992158573	3.39209746814655	4.18043847059393	4.80095534588577	3.33918993066403
CTC-479C5.10	4.65795871347899	4.61612509603424	4.75680770860778	4.61929766080476	4.7552838116572	4.40903733056826	4.11929817578002	2.88668521991166	4.52294720528592
PAGR1	2.7613364533243	2.98364439139068	2.92568462061723	3.58407518734456	3.44008157995815	3.1176582990405	2.04890884788863	1.99360042382817	2.20834245120441
LRRC37A17P	3.16867956081314	2.59256162426356	3.3490855928307	2.92886049052631	3.2992190441183	3.39209746814655	3.18641237163856	2.95883500566749	2.09438626190733
CHTF8	4.75877621300573	4.92138433222933	4.98859882794648	5.49789744523875	5.5295166635401	5.68186223959486	5.62290023078878	5.88205377118001	5.5320955875001
