	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9
CS	8.57543703744313	8.566550602399	8.60334648712302	8.42552203353875	8.20868860163104	8.27251764301286	8.66394005925497	8.48765537824032	8.440419996136
IL23A	1.53153238205575	2.28767583581257	1.92743526493116	0.943242263915875	2.0202515831714	1.5131842358182	2.25866964013724	2.21609301511775	3.15680163535684
STAT2	6.5628169605882	6.37034964348396	5.90976217694999	6.30079426853396	6.19719018637477	5.90550165859696	7.1958428026818	7.26975898541802	7.04268173767282
SPRYD4	3.20015281182381	3.27748006870668	3.75340586515612	1.59531896049557	1.04534256413424	2.60282144830288	4.76116998066642	3.50699421438449	2.27361530033959
BAZ2A	8.2689689285094	8.06088470821636	7.97721310963321	8.67407627391069	8.30012685089198	8.34445087292307	8.25525011959609	8.30400719222063	8.42967027829172
ATP5F1B	10.1735032238003	10.0832811010652	10.3295890934591	10.0503970536987	9.91793784524121	9.89544799393304	10.257473729679	9.96884729932507	10.2762428190277
PTGES3	8.76708227719035	8.80747817976338	8.87754611806963	8.90544973058647	8.73546098598505	8.97408638465726	8.96036990448425	9.02043003259483	9.02165902645578
NEMP1	5.98015724573646	6.12519272838042	5.5569811281462	5.94538753574743	6.08671849192977	5.98433833948004	6.27226724353796	5.91180258134644	5.09010123414932
NAB2	4.96728037650027	4.34249986055709	4.98032084518326	4.37747332842803	4.86331860194841	4.64984678312877	3.78413112910973	4.35499112093944	4.98633334825912
STAT6	9.05099260703407	8.94347108066661	8.6625846373599	8.80624853114525	9.23975980107825	8.92843846987412	8.26887983873945	8.45470102250106	8.54787696159664
SHMT2	7.32769309244949	7.35891156738966	7.51746327673927	7.63373917880939	7.86991731008697	7.62385157459582	6.80111530874061	6.9957774487473	6.96539758548313
ARHGAP9	5.8328579428448	5.76546260078068	5.68440307753568	4.01853039122011	3.93555441859612	3.96249163718179	4.47166336347143	3.91889200613276	4.60831069130083
MARS1	7.71069877190453	7.76865087841172	7.92479806395959	8.54492463292964	8.61126533484326	8.42099933965502	8.26752264669121	8.08409459733267	7.91554661318982
DCTN2	7.42580720047581	7.25881455909567	7.62607229004639	7.47053307974037	7.47795645708923	7.53896267700931	7.64994578171533	7.58111240204336	8.21586913261987
PIP4K2C	5.25823348589904	5.32528078950838	4.84800079743676	5.65683334970827	5.33964641131324	5.47808043486229	5.13908802438456	5.7516165831044	6.11043713133786
DTX3	4.94724262326373	4.73411847245229	4.5092716646656	5.44270854435543	5.59037359258166	5.45419420974474	3.87248700353058	4.73296652599674	3.57617807036002
ARHGEF25	4.12007922012594	3.25686978903139	3.81546683328837	3.96877735602301	3.96214862860784	3.46618675628103	3.44309421127466	4.59814210244268	4.69465154023988
B4GALNT1	1.24680290512264	1.09212502669476	1.2152375759139	1.68020785808208	1.31664458595163	1.08576301208353	3.1915554442787	2.68387197646857	3.62725225495429
OS9	7.52647679327909	7.57516061734736	7.75835168776092	7.93948034511968	7.88302486579468	7.82722999848467	8.2093359878115	8.10496577566751	8.19908732168983
AGAP2	4.14140022453972	3.89947994875236	4.06579018737261	3.98555306877384	4.25882393156329	3.74348185524	2.94219597534198	4.12910971352311	4.1826416402921
TSPAN31	5.78624374047961	5.86414687564008	5.86644197363342	6.26000865368746	6.47853226832852	6.23761063432406	5.733911773622	5.53494827595549	6.85991301174457
CDK4	6.90059252996491	6.6467138783724	7.11031326271245	7.4112358960566	7.39985795420061	7.19716853829824	7.397910902252	7.07195551494411	7.51223234119414
MARCHF9	4.47387181366856	4.45534133007275	4.27903422649487	4.95606630427346	4.79838636631402	4.46140169371566	4.22550277620204	4.47528535465715	4.69465154023988
METTL1	3.87058465473432	3.45081167159224	4.66907734630684	4.06662467942116	4.20416985669322	3.94888120566314	4.03445448319397	4.50070795153706	4.79857049169647
EEF1AKMT3	3.24023025119915	3.57255694394461	3.72134465592382	3.73083393115205	3.57106586148072	3.28306445245714	3.98245984555571	4.35499112093944	4.02016694333499
TSFM	5.13609944071642	5.11234330611341	5.63075461484844	4.93894212648225	5.13280540538457	4.94545844002235	5.54966587547271	5.61278887840708	5.94415353276682
CTDSP2	6.0267311367628	5.635780553259	5.57503385639171	6.28732677245541	5.8002300662977	5.62224471156627	5.19726909547309	5.74631255124447	5.8179358165634
ATP23	2.86632262788016	2.40471525700279	2.6031632295755	2.33228455466177	1.67921466533634	2.53156276513306	3.4041000796588	2.08776891814221	2.66440525337176
SLC16A7	3.25334575098941	3.57255694394461	3.62065065630434	3.7107961779155	2.98177743535677	3.66241024459268	3.04716553494352	3.73831976049094	3.46826273119313
USP15	7.1016146332339	7.17753323426164	7.12672518563252	6.95500197737835	6.67218446326881	6.9784890031809	7.09538948145388	7.01133825489736	6.702115059425
MON2	5.78624374047961	5.79792460873786	5.5386996369648	6.13024077871713	5.58610526094486	5.98767020017779	6.20011745778212	6.14330359510586	6.70508968942911
DPY19L2	4.512567103712	4.5086161231151	4.27903422649487	4.45179164911786	4.89126514245133	4.30993105830983	3.92852103844491	3.95612491233174	2.80413001703837
RXYLT1	4.50161680415146	4.18777726575845	4.55243242745457	4.88631519583104	4.91868060003173	4.83880681426331	4.08464024036219	5.18114041628332	5.07178105094253
SRGAP1	4.51801124240213	4.34249986055709	4.5943393791885	4.1433818784052	4.10025090523662	3.96249163718179	3.23664333380724	2.49439417760485	2.84785139446769
KICS2	2.40795769693722	2.02057176566973	2.71593115973745	2.779743531633	2.33710868851135	2.82769485914308	1.85813171055351	3.13723759440651	1.73595851439679
XPOT	7.76436493256773	7.79032557778556	7.68544210893881	8.35948687109464	8.13682354836682	8.292187978847	8.28238199663756	7.91476074322127	7.87253625865067
TBK1	6.17366492163633	6.19185459783899	6.21619649588333	6.83979091530293	6.49683792284777	6.37116523094577	6.36148044572101	6.38089298438219	6.29153720833685
GNS	6.11020078411423	6.23200640197979	6.06685372965512	7.50148073818463	7.23925022491204	7.34217507182326	6.90950381227453	6.66572462975831	6.96539758548313
LEMD3	5.31250053768931	5.48444244947352	5.4760320200498	5.47276577821161	5.40410742720197	5.45900319766714	5.5585714286946	5.65868364437773	5.134909029508
LLPH	5.77264400073878	5.77998040923586	5.97012507807737	5.59804875325114	5.58182426361698	5.68105265096658	6.30438794044307	5.96756585286845	6.09691176626622
TMBIM4	3.93711840599002	4.55155664533206	4.44528356979378	4.18754946168076	4.45882459691104	4.33106982536798	4.29109111782961	3.97438711872447	5.02493618748287
IRAK3	3.69906286835768	3.12661340308005	3.09527695187299	3.62774043818795	3.3672706590216	3.30459761400679	4.31230760373931	2.33392950541161	2.7124995415728
CAND1	8.29377805255979	8.39029848423391	8.26172306317793	8.39209603038566	8.20938253865302	8.31026374481906	8.78080530340295	8.48287955581265	8.11099794574372
MDM1	4.32031157485821	4.31285439880856	4.30810715069118	4.258283973218	4.42098124576636	4.18778394902404	5.44789519753848	5.07513209246428	3.52322919041106
RAP1B	7.86712271758043	7.94890193631005	7.91301849216229	8.22555850290438	8.06042111666813	8.19392693030156	8.09155965430198	7.63806828685544	7.82410558380361
NUP107	5.98606187215425	6.07309376591158	6.14345668096293	5.65158718014231	5.69317312292626	5.68105265096658	6.17137756234107	6.17523175939255	5.79578267432485
SLC35E3	3.55820033251783	3.60553426639088	3.2075431841239	4.35182474105742	4.20416985669322	4.46140169371566	3.92852103844491	3.16929880363881	3.04854874470482
MDM2	6.74795249783881	6.79345943946353	6.42800557836195	7.22069572966263	6.66208151553315	7.12638340435989	7.27091323589198	7.35934052140249	7.47263321330223
CPSF6	7.6444192029725	7.83619929399992	7.68959076755867	7.93192695068804	7.96502784988742	7.92431493103425	7.66857481439868	7.2304103179422	7.24426447660718
YEATS4	5.06721398000569	5.01751196592067	5.63649669224305	4.09781930102475	4.08822837698741	4.44210113775672	5.33839683260797	5.65868364437773	4.46124230351536
FRS2	4.37533627536802	4.59325593661245	4.34364330791795	4.62238720369374	4.81307041207113	4.53612104709536	4.83632734023516	4.26883447718972	3.15680163535684
CCT2	8.21845096054322	8.31814869847808	8.52734810711829	8.16701415471923	8.03559327010048	8.14552703039917	8.50947047665944	8.35890617094282	8.63468178913391
RAB3IP	4.33888730411335	4.22007775766176	4.17240137800364	3.9518042774193	4.65088594227784	4.05433050424687	4.33321659350229	3.42968848821704	4.29746204229396
CNOT2	5.62405287981245	5.7871848938252	5.63649669224305	5.99593968700554	5.45180416923326	5.69742383419547	5.81046527692319	6.22565365342584	5.88767071258107
PTPRB	2.60499454399677	1.91928842983254	2.13638215520266	3.69047619353591	3.94891280145114	3.69538756703895	2.99563523430344	3.95612491233174	4.00093072447208
PTPRR	6.19251274962168	6.44056764009544	6.252171070807	7.56842924224653	7.24602981934723	7.40208356142359	5.00217808017021	4.65585760029897	3.8370446395111
ZFC3H1	7.11784005307565	7.10010174741759	6.61702488148593	7.67310574239687	7.60890047585494	7.87569009123776	7.09538948145388	7.05703829890241	6.80274214291413
THAP2	3.17280232367886	4.16583471287777	3.99603907893019	3.86380779642147	3.83841326018559	3.97597486654541	4.82160583452839	4.07935667832601	5.03442763646016
TMEM19	4.6478375450025	4.99901562230328	4.75604574702882	4.72585052363779	4.40168068980743	4.45178369115406	4.83632734023516	5.37231059713946	5.89289787424462
RAB21	5.89484993311196	6.00675127108288	6.25029987075105	6.13400760864005	6.40773989670189	6.51895271627782	5.93878937389873	5.73564562619262	5.49943862707631
TBC1D15	5.98802472285281	5.87094403799385	6.00605397095406	6.49783111559351	6.21111592230608	6.39645413508818	6.40162759397928	6.24458693094304	6.36107814158993
GLIPR1	4.54492797542479	4.56838126797342	4.17240137800364	5.59258399277433	5.34470850436951	5.59191667196401	5.56742234627687	4.52569030809439	3.72427670934916
KRR1	6.15631420089029	6.6065527592259	6.27443818870884	6.18936075512759	6.32307085511106	6.37625859913423	6.39169505876802	6.46402052856133	6.34971827942538
NAP1L1	9.84136502601796	9.96239030150536	9.95577191674033	10.1402248672898	9.87812347745264	10.151202360808	10.1422386217822	10.142925216372	10.0513272368491
BBS10	4.53958465435048	4.6575649691511	4.16447446223201	4.61162077282467	4.54050839450475	4.30993105830983	2.42372888640773	4.80616240627199	4.35919103204566
OSBPL8	7.54859006241472	7.86201617810187	7.5917555572656	7.84956024787136	7.55859369737628	7.81321406854892	7.32671502756033	7.2132124250608	7.3004153596833
ZDHHC17	5.25823348589904	5.56628888901218	5.18616953333133	5.39327518455092	5.34975289776357	5.74150961290839	4.64890374841551	4.7856254752693	5.7036031410844
E2F7	5.2904019321265	5.69826155052033	5.58397620965545	5.26860126420351	5.13864628397364	5.10736526656874	5.95910935827833	6.56387927792614	6.08782389343826
NAV3	4.89798509198623	4.9420597374912	5.05081768043645	5.27543869425706	5.25075665029517	5.3698890742585	2.88670086275028	3.23135977177106	3.38167504619704
PPP1R12A	7.32924229532683	7.48166963478009	7.19154270543018	7.54031934098185	7.41798250213653	7.54123195791901	7.09844603988722	7.2417627309399	7.27461682418466
LIN7A	4.42833919693524	4.40002356167806	4.0225924979715	5.2478923673714	5.37471364220716	5.00585914649131	5.01517542069909	4.62150609550819	4.6459483486642
CCDC59	5.27762049711242	5.0357741723134	5.50142664783132	5.7032096834437	5.64063220301729	5.85531590142875	5.54966587547271	5.91653273325884	5.53998541873664
METTL25	3.40208113060055	3.57255694394461	4.09110127590179	3.75059718597348	3.82398618955031	3.69538756703895	3.04716553494352	3.97438711872447	3.9416335407883
RLIG1	3.74621396172858	3.97713250440483	3.85540557865851	3.09008365224515	3.34723290578505	3.28306445245714	4.13313875805338	3.8010555158389	4.28160809109312
CEP290	4.86845521517297	5.25427267754535	4.5884266863186	5.27543869425706	5.37471364220716	5.42499871006601	5.44789519753848	5.18114041628332	4.73012943559459
TMTC3	4.57135170016913	4.84873515000724	4.62354472957352	5.59258399277433	5.45180416923326	5.64774219480384	4.31230760373931	4.92359900881029	5.134909029508
KITLG	2.38430642887257	2.8244292434911	2.13638215520266	2.04277793746679	2.95554589378359	2.0606720311207	1.1211661163873	2.54414721280195	1.99121556963886
POC1B	4.28881043164421	4.74155506129408	4.03133613104348	4.29911769072658	3.7342560288943	4.19932557090673	4.20296020755095	4.94227493357071	4.47524916150924
ATP2B1	8.12432408664585	8.23431445076054	8.00910026164339	8.13729553625108	7.96173684180873	8.09853202030207	8.63791671585464	8.63985712160525	8.51180770688912
EEA1	5.51393006559031	5.63976590121018	5.23618797107079	5.67762931398031	5.46115716822093	5.73755702128289	5.81790186576497	5.68109489179799	5.80690176628842
NUDT4	7.46015018685608	7.79480044192187	7.75505635731747	7.64302125612791	7.50985310660413	7.51952829778989	8.15898758182227	7.94748426936832	8.36154953353691
