	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11
L3MBTL2	10.8788320446137	10.5877296097797	10.5265552646899	10.9306480316894	11.101470942956	11.0946310629891	10.5619938813474	10.533987209207	10.6930760587615	10.6712905174695	11.3610174462538
CHADL	7.09545598549051	7.00800375742465	7.49709380161802	7.62856474819891	7.10704766053344	5.60836440167799	7.71935648936891	7.35881603819874	8.42929971665993	7.47809573670431	8.77983658607509
CGRRF1	9.95471200946014	8.85948123271456	10.4011803243498	10.2279085600766	9.84133912040132	10.1154695818679	9.59136629274808	10.0092792825608	9.14473214927649	9.62038961916943	9.43602743479905
MYOM1	12.7025965832768	12.5081961546671	11.8934076121071	12.5086667813046	11.1519814077422	12.4252089364743	11.0389175697124	10.5128870884402	12.2070928151644	12.0703704428453	10.1882496950427
MYL12A	13.607309984138	13.8359332106877	13.3906162421887	13.4809620768789	13.3229850597326	14.0112837695874	13.5762302517648	13.4741795456647	13.047277274609	13.5743287875824	12.5648995640854
LYL1	7.83242157965671	8.75122834206254	7.84401627597225	9.22920887115234	7.24293108861521	9.13465099507154	8.59044296789039	8.86270692827257	9.12287271531275	9.08632801674831	8.12127099531394
PIK3CG	10.0815167945326	10.0466842255887	10.0321803956996	10.5254347567201	10.823835372762	10.7304608780297	10.6165288862879	10.7204003334379	8.3562362544702	9.85525335231206	9.6411996106176
PON3	6.66803476175583	7.23932930353111	9.98801281242403	7.35126964923995	9.97421197782635	7.85298677039791	9.52719399883388	8.79440091488167	7.92233972794005	7.32999709771518	9.1967611948982
PON2	11.6942242857367	11.6963300959136	11.4095762454709	11.4632516522277	11.54937685148	11.6422661472188	11.2324507332728	11.2751360467272	11.1034701840902	11.7805396245162	11.8561485367459
ITGB8	10.7018374698466	10.3109902886586	12.4728165797526	9.50303386611505	13.8488475253488	9.23962055467308	9.09370373652997	11.144040690891	10.1822068546952	10.878766946813	14.1300005574389
HBP1	13.3113933846897	13.322857877165	13.4125961379722	13.4650463068328	13.3210669008449	13.1639538510429	12.9746449340043	13.3118675038958	12.5334292563766	13.1436049818216	13.0004744784024
BCL7B	11.1069699735075	11.5151089376146	10.6033835687359	10.9497042696636	9.34084484514214	11.0720664576935	10.3227830529937	10.528741039641	11.5219916141636	11.2420772494263	9.88540234172103
YKT6	11.5225807670681	11.6618613393569	11.3173967122304	11.818065287978	10.639102895308	11.4078572059626	11.1527538068141	11.1198222198071	11.2109832311153	11.6183955690373	11.0337150018414
TBL2	9.96487187568036	9.85076401561346	10.6482212076062	10.4538276741666	10.1997395580371	10.6142329997671	10.369819733731	10.7204003334379	10.1173557103452	10.7607886683086	10.4094220782169
MADD	11.7511013729688	11.41221976345	11.3526578167182	11.381406910215	11.7394595063821	11.2954737894066	11.7517216546804	11.5035578501239	11.7777000229085	11.4082561116357	12.6572211065519
HPS5	11.8558134280109	11.3141645364537	11.6832681547054	11.1022594097596	12.3145742211469	11.7528009812935	11.2401246611582	11.6795611112561	10.8409937728644	11.1676676442003	12.5692763442064
COPZ1	11.9146525201926	11.8917095656124	12.2436570395569	12.1341919425392	12.2814185670069	11.6210496613091	12.9017101352484	12.1259150585982	11.8559786223742	11.9924489697454	10.3030700970445
IK	11.9534369806181	11.9942168056946	11.9836457322089	12.4333834345476	12.0133444322847	12.3045759965139	12.0397633779331	11.5247938551244	12.104864766162	12.1021110139892	11.8810078971388
NCBP2	11.8254688190149	11.6265488586702	11.8960657336161	11.9310476148635	10.6267324440315	12.08972512419	11.6749689689737	11.6936937471203	11.413630260394	11.6263552860058	11.4372251891567
ACTR1B	11.4412308223322	11.4062827384421	11.6615614254172	11.4819169169163	11.5395122315705	11.1250921666467	11.6740976447492	11.7330003702175	11.8088385347174	11.475894828511	11.7788921048362
HDLBP	15.108545984931	15.076665222727	14.8206842397426	15.2917242440158	14.7925967986081	14.9806616951398	14.6787476879239	14.4540833436148	14.9642389965894	14.972097590516	14.2959903810673
EPAS1	16.1998867357194	15.74197697059	14.9467032535124	16.1583473001609	14.3873029062559	15.8560339731851	14.595657759585	14.3990832987093	16.0267315693433	15.8555708118889	13.0922919283422
ARID3A	9.53115295533544	9.98428768845084	9.27411764770598	9.8892979423596	9.08461027141368	10.1209760581745	9.17478959024963	9.45598469720573	9.68190675104338	9.55517195972295	9.37733344054002
MAD2L2	8.21944470276596	8.55053099182541	8.80494671129365	9.17085663267405	8.94212334014949	8.53601355745331	9.21128466545405	8.97497316052349	9.18748179673583	9.23948480480973	9.5990125392212
KIF21B	7.83242157965671	7.76984402022989	8.02976179489696	8.61669064791062	9.19765020931435	8.56861822288524	8.28276042473096	7.65689739113173	8.498840649913	8.14291154511468	9.32652906986853
VAMP8	9.57160499907274	9.66435089138257	10.9842704107382	9.77286080234485	10.1003530079594	10.1749148652853	10.7248364186841	11.1846350231599	8.90962867619049	9.55517195972295	10.5400296600319
INVS	11.2674346457008	10.9561170157597	10.8260083268215	10.98091576366	11.6927520975224	10.8546402892504	10.552542848263	11.0111614681388	11.0231403687275	11.036423110922	11.6149776048446
ACO1	14.8624519986998	14.3871937462178	13.7808789513318	14.4601402337616	13.0621055386025	14.006457456406	13.0724516522155	13.6685719245126	14.3826339445348	15.0060494618785	11.2122363754075
PTGIS	12.5234402815653	13.5923127156473	12.5079952819375	13.3902976185049	11.963799784172	13.3762609644033	13.360981027242	12.9442711785152	13.6588306732976	13.1940158860627	10.807887276101
STAU1	13.0914042816093	12.5864174723169	12.4165357140602	12.963247115567	12.7988988603891	12.8852979460878	12.624105667782	12.3084275087919	12.8879215148769	12.7045666723438	12.0376686766668
